Test,Ref,Unit
Erythrocyte Sedimentation Rate After 1 hour,0-10,mm
ERYTHROCYTE SEDIMENTATION RATE (ESR),0-15,mm at the end of 1 hour
ERYTHROCYTE SEDIMENTATION RATE (ESR),0-20,mm at the end of 1 hour
Erythrocyte Sedimentation Rate [E.S.R.] After 1 hour,0-10 mm,mm
Erythrocyte Sedimentation Rate E.S.R. (After 1 hour),0-10,mm
Erythrocyte Sedimentation Rate E.S.R.][Modified,,
ERYTHROCYTE SEDIMENTATION RATE(ESR),0-15,mm at the end of 1 hour
"ERYTHROCYTE SEDIMENTATION RATE(ESR), WHOLE BLOOD- EDTA",0-15,mm at the end of 1 hour
Erythrocyte Sedimentation Rate: [E.S.R.],0-10,mm
Erythrocyte Sedimentation Rate:[E.S.R],,
ERYTHROCYTE SEDIMENTATION RATE[E.S.R.],0-15,mm at the end of 1 hour
Erythrocyte Sedimentation Rate[E.S.R.],,
Erythrocytes,,
ESOSINOPHILS,1-6,%
ESOSINOPHILS,20-500,cells/cu.mm
ESR,,mmllst hr
ESR,male 0-10,mm/1st hr
ESR,00-20;,mm/Ist hr.
ESR,0-20,
ESR,,mm/ l st hr
ESR,,mm/1st hr
ESR,00-20,mm/1st hr
ESR,00-20;,mm/Ist hr
ESR,male 0-10/1st,mm/1st hr
ESR,,mm/1 st hr
ESR,00-20,mm/Ist hr.
ESR,0-20,mm/1st Hr
ESR,,male 0-10mm/1st hr
ESR,,mm/ 1 st hr
ESR,0,mm/1st hr
ESR,00-20;,mm/1st hr
ESR,0-14,mm/1 st hr
ESR,00-20,mm/Ist hr
ESR,,mm/ 1st hr
ESR,00-20;,mm/1st hr.
ESR,,mm/l st hr
ESR,male 0-10 mm/1 st hr,mm/1st hr
ESR,0-20,mm/ 1st hr
ESR,Male 12;,hour
ESR,,mm /1 hr
ESR,00-20,mm/ 1 st hr
ESR,male: 10;,hour
ESR,0-20;,
ESR,0-20,mm/1st hr.
ESR,0-10,mm
ESR,00-20;,mm/ 1st hr
ESR,00-20;,mm/1 st hr
ESR,0-15,mm/1st hr
ESR,00-20,mm/1 hr.
ESR,00-20,mm/1st hr.
ESR,00-20,mm/ 1 st hr.
ESR,0-15,mm/hr
ESR,0-20,mms at the end of 1 hr
ESR,0-9,/hr
ESR,HOUR,mm Ist
ESR,,
ESR (westergren),00-20,mm/1st hr
ESR (Wintrobe),M: 0-10;,mm
"ESR, Citrate WB",2-15,mm at 1 hr
"ESR - Erythrocyte Sedimentation rate, EDTA",0-20,mm/hr
ESR Citrate WB,2-15,mm at 1 hr.
ESR(westergren) 18,00-20,mm/1st hr.
"ESR, Citrate WB",2-20,mm at 1 hr
"ESR, Citrate WB",2-15 mm at 1 hr,
"ESR, Citrate WB",2-20 mm at 1 hr,
ESTIMATED AVERAGE GLUCOSE,,mg/dL
ESTIMATED AVERAGE GLUCOSE (eAG),,mg/dL
ESTIMATED AVERAGE GLUCOSE (eAG),Calculated,mg/dL
"ESTIMATED AVERAGE GLUCOSE (eAG), WHOLE BLOOD -EDTA",,mg/dL
"ESTIMATED AVERAGE GLUCOSE (eAG), WHOLE BLOOD EDTA",,mg/dL
Estimated Average Glucose eAG,,mg/dL
ESTIMATED AVERAGE GLUCOSE(eAG),,mg/dL
ESTIMETED AVERAGE GLUCOSE,,mg/dL
NEUTROPHILS,40-70,%
EXTERNAL EAR CANAL,,
EYE MOVEMENTS,,
EYELIDS,,
F.GLOBULES & SOAP,ABSENT,
FACIAL APPEARANCE,,
Family History of Asthma,,
Fastang Plasma Glucose,Normal 0-100,mg/dL
Fasting Blood Glucose,70-110,mg/dL
FASTING BLOOD GLUCOSE,Normal: 70-100,mg/dL
FASTING BLOOD GLUCOSE Blood Sugar Fasting,60-110,mg/dL
Fasting Blood Sugar,70-110,mg/dL
FASTING BLOOD SUGAR,70-100,mg/dL
Fasting Blood Sugar,80-99,mg/dL
Fasting Blood Sugar,60-110,mg/dL
FASTING BLOOD SUGAR,76-100,mg/dL
Fasting Blood Sugar,70.0-100.0,mg/dL
FASTING BLOOD SUGAR,70-100,(H) mg/dL
FASTING BLOOD SUGAR,70-100,(L) mg/dL
Fasting Blood Sugar,,
Fasting blood sugar,70-110,me/dl
Fasting Blood Sugar,70-110,mgs/dl
FASTING BLOOD SUGAR (FBS),70-110,mg/dL
FASTING BLOOD SUGAR LEVEL RAISED,,mg/dL
Fasting Glucose,70.0-100.0,mg/dL
Fasting Glucose,0-100.0: No impaired Glucose Tolerance,mg/dL
Fasting Glucose,0-100.0;,mg/dL
Fasting Glucose,0-100.0 : No impaired Glucose Tolerance;,mg/dL
Fasting Glucose,0-100.0 :No impaired Glucose Tolerance;,mg/dL
Fasting Glucose,0-100.0 - :No impaired-Glucose Tolerance;,mg/dL
Fasting Glucose,0-100.0 No impaired Glucose Tolerance;,mg/dL
Fasting Glucose,0-100.0 : No impaired Glucose Tolerance ;,mg/dL
Fasting Glucose,0-100.0 ;,mg/dL
Fasting Glucose,[ 70.0-100.0 ],mg/dL
Fasting Glucose,0-100.0 : No impaired Glucose Tolerance,mg/dL
Fasting Glucose,mg/dL0-100.0 No impaired Glucose Tolerance 100.0-125.0 Prediabetes,
Fasting Glucose,,
Fasting Glucose (Plasma),60-110,mg/dL
Fasting Plasma Glucose,Normal 0-100,mg/dL
Fasting Plasma Glucose,Normal 0-100 ;,mg/dL
Fasting Plasma Glucose,Normal :70-100;,mg/dL
Fasting Plasma Glucose :,Normal 0-100 ;,mg/dL
Fasting Urine Sugar,,
Fat,,
FAT GLOBULES,ABSENT,
Fat Globules,,
Fat Gloubles,Nil,
FBS,110,mg/dL
FBS,140,mg/dL
FBS,110 mg/dL,mg/dL
FBS,110,mg/d
FITNESS STATUS,,
Flagellates,Absent,
Flatulence & Dyspepsi,,
Fluid,,
Fluoride Plasma Impaired Fasting Glucose,100-125,mg/dL
Form and Consistency,Semi Solid,
"Free T3, Serum",3.5-6.5,pmol/L
"Free T4, Serum",11.5-22.7,pmol/L
Free Tetra-iodo-thyroine(FT4),10.6-21.0,pmol/l
Free Tetra-iodo-thyronine (FT4),10.6-21.0,pmol/I
Free Tetra-iodo-thyronine(FT4),10.6-21.0,pmol/l
Free Tri-iodo-thyronine (FT3),3.2-5.9,pmol/I
Free Tri-iodo-thyronine(FT3),3.2-5.9,pmol/l
Frequency,,
FS,,%
FS,,
G.G.T.P GAMMA,,U/L
G.Haemoglobin Ale,,%
GAMA GT,Male 9-52;,IU/L
GAMMA GIUTAMYL TRANSPEPTIDASE(GGT),15-85,ms/dL
GAMMA GLUTAMYL TRANSFERASE (GGT),8-61,U/L
GAMMA GLUTAMYL TRANSFERASE (GGT),5-36,U/L
GAMMA GLUTAMYL TRANSFERASE(GGT),15.0-85.0,U/L
GAMMA GLUTAMYL TRANSPEPTIDASE,15-85,mg/dL
GAMMA GLUTAMYL TRANSPEPTIDASE (GGT),15-85,mg/dL
GAMMA GLUTAMYL TRANSPEPTIDASE (GGT),15-73,U/L
GAMMA GLUTAMYL TRANSPEPTIDASE (GGT),5-55,mg/dL
GAMMA GLUTAMYL TRANSPEPTIDASE (GGT),0-49,U/L
GAMMA GLUTAMYL TRANSPEPTIDASE(GGT),15-85,mg/dL
GAMMA GLUTAMYL TRANSPEPTIDASE(GGT),16-73,U/L
GAMMA GLUTAMYL TRANSPEPTIDASE(GGT),0-49,U/L
GAMMA GLUTAMYL TRANSPEPTIDASE(GGT),15-73,U/L
GAMMA GLUTAMYL TRANSPEPTIOASE,16-73,U/L
GAMMA Glutaryl Transpeptidase,5-40,IU/L
"GAMMA GT, Serum",3-60,U/L
GAMMA GTUTAMYL TRANSPEPTIOASE(GGT),15-85,mg/dL
GENERAL APPEARANCE / NUTRITIONAL STATUS,,
GENERAL APPEARANCE/NUTRITIONAL STATUS,,
GENERAL CONDITION,,
GGIP,17-55,U/L
GGT,10-50,U/L
GGT,10-70,U/L
GGT,,IU/L
GGT,10toS0,IU/L
GGT,8-61,U/L
GGT,,
GGT Gamma GT,,U/L
GGT Gamma GT,,IU/L
GGTP,4-34,U/L
GHB(HbA1c),Good Control 5.5-6.8 % of Hb;,%
GLANDULAR CELL,,
GLOBULIN,2.0-3.5,g/dL
GLOBULIN,1.9-3.5,g/dl
GLOBULIN,2.5-3.5,mg/dL
Globulin,2.3-3.5,g/dl
GLOBULIN,2.8-3.5,g/dl
GLOBULIN,2.0-3.0,g/dL
Globulin,1.80-3.60,g/dL
Globulin,2.5-4.5,g/dl
GLOBULIN,,
GLOBULIN,,25-35
GLOBULIN,2.0-4.1,G/DL
GLOBULIN,2.0-3.6,g/dl gm %
Globulin,2.5-3.5,gm/dl em/dl
GLOBULIN,,g/dl
Globulin,gms,
Globulin,2.5-3.5,gm/dl gmidl
Globulin,2.3-3.5,gm/dl
Globulin,2.3-3.5,gidi
"GLOBULIN, Serum",2.3-3.5,g/dL
GLOCOSE,NEGATIVE,
GLOUBULIN,,
GLOUBULIN,1.5-3.0,gmidl g/dl
GLOUBULIN,1.5-3.0,g/dl
GLUCOSE,NOT DETECTED,
GLUCOSE,NEGATIVE,
Glucose,,
GLUCOSE,,NIL
GLUCOSE,NIL,
GLUCOSE,NlL,
GLUCOSE,,NOT DETECTED
Glucose (Fasting),Diabetes: > 126 and above;,mg/dL
GLUCOSE (FASTING),80-110,mg/dL
Glucose (Fasting),Diabetes >126 and above;,mg/dL
GLUCOSE (PP 2 HOURS),80-140,mg/dL
"GLUCOSE (SUGAR) FASTING, Fluoride Plasma",Non-Diabetic: 0-100 ;,mg/dL
GLUCOSE (SUGAR) FASTING,Non-Diabetic: 0-100 ;,mg/dL
"GLUCOSE (SUGAR) FASTING, ",Non-Diabetic: 0-100 ;,
"GLUCOSE (SUGAR) FASTING, ",Non-Diabetic: 0-100 ;,mg/dL
"GLUCOSE (SUGAR) FASTING, ",Non-Diabetic: 0-100,mg/dL
"GLUCOSE (SUGAR) FASTING, 88.7 Fluoride Plasma",Non-Diabetic: 0-100 ;,mg/dL
"GLUCOSE (SUGAR) FASTING, Fluoride Plasma",Non-Diabetic: 0-100,mg/dL
"GLUCOSE (SUGAR) FASTING, Fluoride Plasma",Non-Diabetic: 0-100 mg/dL;,mg/dL
"GLUCOSE (SUGAR) FASTING, Fluroide Plasma",Non-Diabetic: 0-100 ;,mg/dL
"GLUCOSE (SUGAR) FASTING, Fluoride Plasma",Non-Diabetic: 0-100 ;,
"GLUCOSE (SUGAR) FASTING, Fluroid Plasma",Non-Diabetic: 0-100 ;,mg/dL
"GLUCOSE (SUGAR) PP, Fluoride",Non-Diabetic: 0-140 l;,mg/dL
"GLUCOSE (SUGAR) PP, Fluoride",Non-Diabetic: 0-140 ;,
"GLUCOSE (SUGAR) PP, Fluoride",Non-Diabetic: 0-140,mg/dL
"GLUCOSE (SUGAR) PP, Fluoride",Non-Diabetic: 0-140 ;,mg/dL
"GLUCOSE (SUGAR) PP, Fluoride Plasma",Non-Diabetic: 0-140 ;,mg/dL
"GLUCOSE (SUGAR) PP, Fluoride Plasma",Non-Diabetic: 0-140 ;,
"GLUCOSE (SUGAR) PP, Fluoride Plasma",Non-Diabetic: 0-140,
"GLUCOSE (SUGAR) PP, Fluoride Plasma",Non-Diabetic: 0-140 mg/dL;,
"GLUCOSE (SUGAR) PP, Fluoride Plasma",Non-Diabetic: 0-140 mg/dL;,mg/dL
"GLUCOSE (SUGAR) PP, Fluoride Plasma",Non-Dijabetic: 0-140 ;,mg/dL
"GLUCOSE (SUGAR) PP, Fluoride Plasma",Non-Diabetic: 0-140;,mg/dL
"GLUCOSE, FASTING, NAF PLASMA",70-100,mg/dL
GLUCOSE - ( FASTING ),70-110,mg/d
GLUCOSE - ( FASTING ),70-110,ma/dL
GLUCOSE - ( FASTING ),70-110,mg/dL
GLUCOSE - ( FASTING ),70.0-110.0,mg/dL
GLUCOSE - ( FASTING),70-110,mg/dL
GLUCOSE - ( POST PRAND IAL),70-140,mg/dL
GLUCOSE - ( POST PRANDIAL),70-140,mg/dL
GLUCOSE - ( POST PRANDIAL),80.0-140.0,mg/dL
GLUCOSE - (FASTING ),70-110,mg/dL
GLUCOSE - (FASTING ),70-100,mg/dL
GLUCOSE - (FASTING),70-110,mg/dL
GLUCOSE - SERUM / PLASMA (FASTING),Non-Diabetic: 0-=100;,mg/dL
GLUCOSE - SERUM / PLASMA (POST PRANDIAL),70-140,mg/dL
GLUCOSE - SERUM/PLASMA (POST PRANDIAL),70-140,mg/dL
GLUCOSE -(FASTING ),70-110,mg/dL
GLUCOSE -SERUM/PLASMA(FASTING),Non-Diabetic0-=100;,mg/dL
GLUCOSE FASTING NAF PLASMA,70-100,
GLUCOSE FASTING NAF PLASMA __,70-100,
GLUCOSE FASTING PIASM,70-100,m&/dt
GLUCOSE FASTING PLASMA,74-99,High mg/dL
GLUCOSE FASTING PLASMA ADA,,mg/dL
GLUCOSE FASTING PLASMA GLUCOSE FASTING PLASMA,74-99,High mg/dL
GLUCOSE FASTING PLASMA GLUCOSE FASTING PLASMA,74-99,mg/dL
GLUCOSE OXIDASE-PEROXIDASE GOD/POD Urine Sugar Interpretation,Trace>0.10,g/dl
"GLUCOSE POST PRANDIAL (PP), 2 HOURS, NAF PLASMA",70-140,mg/dL
"GLUCOSE POST PRANDIAL(PP), 2 HOURS, NAF PLASMA",70-140,mg/dL
"GLUCOSE POST PRANDIAL(PP), 2.__",70-140,ome/dl
GLUCOSE POST-PRANDIAL PLASMA GLUCOSE POST-PRANDIAL PLASMA,70-139,mg/dL
GLUCOSE POST-PRANDIAL PLASMA GLUCOSE POST-PRANDIAL PLASMA,Normal0-140,High mg/dL
GLUCOSE POST-PRANDIAL PLASMA GLUCOSE POST-PRANDIAL PLASMA,70-139,Low mg/dL
GLUCOSE RANDOM,70-140,mg/dL
GLUCOSE RANDOM,70-140,
GLUCOSE RANDOM,70-140,ma/dL
"GLUCOSE RANDOM, PLASMA",Non-Diabetic: 0-200;,mg/dL
"GLUCOSE RANDOM, PLASMA",Non-Diabetic: 0-200 ;,mg/dL
GLUCOSE SERUM/PLASMA(FASTING),Non Diabetic 0-=100;,mg/dL
GLUCOSE SUGAR FASTING,Non-Diabetic0-100,mg/dL
GLUCOSE SUGAR PP Fluoride,Non-Diabetic0-140,mg/dL
Glucose value,70-110,mg/dL
"GLUCOSE, FASTING, NAF PLASM",70-100,mg/dL
"GLUCOSE, FASTING, NAF PLASM A",70-100,mg/dL
"GLUCOSE, FASTING, NAF PLASMA",70-100;,mg/dL
"GLUCOSE, FASTING, NAF PLASWA",70-100,mg/dL
"GLUCOSE, FASTING, SODIUM FLUCRIDE PLASMA",70-100,mg/dL
"GLUCOSE, FASTING, SODIUM FLUORIDE",70-100,mg/dL
"GLUCOSE, FASTING, SODIUM FLUORIDE PLASMA",70-100,mg/dL
"GLUCOSE, FASTING NAF PLASMA",70-100,mg/dL
"GLUCOSE, FASTING, PLASMA",74-99,mg/dL
"GLUCOSE, FASTING, PLASMA",High 74-99,mg/dL
"GLUCOSE, FASTING, PLASMA",High 82-99,mg/dL
"GLUCOSE, FASTING, PLASMA",Low 74-99,mg/dL
"GLUCOSE, FASTING, PLASMA",70-100,mg/dL
"GLUCOSE, FASTING, PLASMA",74-106,mg/dL
"GLUCOSE, POST PRANDIAL (PP)",70-140,mg/dL
"GLUCOSE, POST PRANDIAL (PP), 2 HOURS, NAF PLASMA",70-140,mg/dL
"GLUCOSE, POST PRANDIAL (PP), 2",70-140,mg/dL
"GLUCOSE, POST PRANDIAL (PP), 2 HOURS",70-140,mg/dL
"GLUCOSE, POST PRANDIAL (PP), 2 HOURS, MAF PLASMA",70-140,mg/dL
"GLUCOSE, POST PRANDIAL (PP), 2 HOURS, SODIUM FLUORIDE PLASMA",70-140,mg/dL
"GLUCOSE, POST PRANDIAL (PP), 2 HOURS, SERUM",70-140,mg/dL
"GLUCOSE, POST PRANDIAL (PP), 2 HOURSE, NAF PLASMA",70-140,mg/dL
"GLUCOSE, POST PRANDIAL(PP), 2 HOURS, NAF PLASMA",70-140,mg/dL
"GLUCOSE, POST-PRANDIAL, PLASMA",70-139,mg/dL
"GLUCOSE, POST-PRANDIAL, PLASMA",0-140,mg/dL
"GLUCOSE, POST-PRANDIAL, PLASMA","High Normal: 0-140,;",mg/dL
"GLUCOSE, POST-PRANDIAL, PLASMA",High;,mg/dL
"GLUCOSE, POST-PRANDIAL, PLASMA",74-140,mg/dL
"GLUCOSE, POST-PRANDIAL, PLASMA",High 70-139,mg/dL
"GLUCOSE, POST-PRANDIAL, PLASMA",Low 70-139,mg/dL
"GLUCOSE, POST-PRANDIAL, PLASMA",70-140,mg/dL
"GLUCOSE, POST-PRANDIAL, PLASMA","High Normal: 0-140, Impaired Glucose Tolerance:140-;",mg/dL
"GLUCOSE, POST-PRANDIAL, PLASMA","Normal: 0-140,;",mg/dL
GLUCOSE- SERUM / PLASMA ( FASTING),Non-Diabetic: 0-=100;,mg/dL
GLUCOSE- SERUM / PLASMA (POST PRANDIAL),70-140,mg/dL
GLUCOSE-( POST PRANDIAL),60-170,mg/dL
GLUCOSE-(FASTTNG),70.0-110.0,mg/dL
GLUCOSE-SERUM/PLASMA(FASTING),Non-Diabetic: 0-=100;,mg/dL
GLUCOSE-SERUM/PLASMA(FASTING),Non-Diabetic0-=100;,mg/dL
GLUCOSE-SERUM/PLASMA(FASTING),Non-Diabetic:0-=100;,mg/dL
GLUCOSE-SERUM/PLASMA(POST PRANDIAL),70-140,mg/dL
GLUCOSESERUM / PLASMA (POST PRANDIAL),70-140;,mg/dL
Glycosylated,,%
Glycosylated Haemoglobin-HbA1c,Below 5.6 - Non diabetic Level;,%
Glycosylated Haemoglobin-HbAtc,5.6,% Below
Glycosylated Haermoglobin-HbAle,5.6,% Below
GLYCOSYLATED Hb (HBA1C),,%
GLYCOSYLATED HEMOGLOBIN,Non-Diabetic Level: 0-5.7 ;,
"GLYCOSYLATED HEMOGLOBIN (HbA1c), EDTA WB",Non-Diabetic Level: 0-5.7 ;,%
GLYCOSYLATED HEMOGLOBIN (HBA1C),Non- Diabetic: 0-5.7;,%
GLYCOSYLATED HEMOGLOBIN (HBA1C),Non-diabetic: 0-5.7;,%
"GLYCOSYLATED HEMOGLOBIN (HbA1c), EDTA WB",Non-Diabetic Level: 0-5.7;,%
GLYCOSYLATED HEMOGLOBIN (HBA1C) - WHOLE BLOOD,4-6,%
GLYCOSYLATED HEMOGLOBIN 5.9,Non-Diabetic Level:0-5.7%;,
gmdl 1.5-3.0,Po,g/dl
gms/dl 1.83.5 gmsidl BILIRUBIN TOTAL,,
GOD-FOD Prediabetes 140-199,70-140,
GRA,50.0/80.0,%
GRA,50.0 /80.0,%
GRA,50.0 / 80.0,%
GRA,2.0 /8.0,x10^3/μL
GRA#,2.0/8.0,x10^3/µL
GRA#,2.0 /8.0,x10^3/µL
GRA#,2.0 / 8.0,x10^3/µl
GRA#,2.0 /8.0,x10^3μL
GRA#,2.0 /8.0,x10^3 μ/L
Grading,,
Granular cast,,
Granular cast -,,
GRANULOCYTS,40-75,%
GUMS,,
H D L CHOLESTEROL DIRECT,40.0-79.4,mg/dL
H.C.T,36-52,% M.CV
H.D.L. Cholestero,36-80,mg/dL
H.D.L. Cholesterol,36-80,mg/dL
H/O blood pressure,,
HAEMATCCRIT,40-50,%
HAEMATOCRIT,40-50,%
HAEMATOCRIT,36-46,%
HAEMATOCRIT,,%
HAEMATOCRIT(PCV),38-47,%
Haemogiobin,13.5-18,gms %
Haemoglobin,13-18.0,g/dl
HAEMOGLOBIN,male 14-18,gm/dl
Haemoglobin,12.0-15.0,g/dL
HAEMOGLOBIN,13-17,g/dL
HAEMOGLOBIN,13-17,mg/dL
Haemoglobin,13-18,gm%
HAEMOGLOBIN,12-15,g/dL
Haemoglobin,13-18,g/dl
Haemoglobin,13.0-17.0,g/dL
Haemoglobin,13.0-17.0,gms%
Haemoglobin,12.0-15.0,gm%
Haemoglobin,11.5-16.5,gm%
HAEMOGLOBIN,13.17,g/dL
Haemoglobin,12-18,gm/dl
Haemoglobin,13.5-18,gms%
Haemoglobin,13-18,g/l
HAEMOGLOBIN,11.5-14.5,g/dL
Haemoglobin,13.5-18,gms %
Haemoglobin,13.0-18.0,gm%
Haemoglobin,13.17 (Men);,gm/dl
HAEMOGLOBIN,13-17,gm/dl
Haemoglobin,13-18,gms%
HAEMOGLOBIN,13-18;,
HAEMOGLOBIN,13-18,
HAEMOGLOBIN,11-15,gm/dL
HAEMOGLOBIN,11-14,g/dL
Haemoglobin,"(M:12-18),(F:11-16)",gm%dl
HAEMOGLOBIN,(13-18),gm/dl
Haemoglobin,13.0-18.0,gm %
HAEMOGLOBIN,13.0-18.0,gms/dl
HAEMOGLOBIN,Male : 13.5-18.0 ;,gm/dL
Haemoglobin,13.0-17.0,gm%
Haemoglobin,Adults: Male 12.0-18;,gms%
Haemoglobin,13.5-18,gm/dl
HAEMOGLOBIN,13-18,gm/dl
HAEMOGLOBIN,13-18,mg/dL
HAEMOGLOBIN,11.6-14.5,g/dL
Haemoglobin,12-18,mg/dL
Haemoglobin,13-17,gmvdl
Haemoglobin,,gms%
Haemoglobin,12.8-16.8mg/d,gms
Haemoglobin,12-17,gm/dl
HAEMOGLOBIN,"T.W.B.C 6,100 4,000 10,000 cettsfcurnm",12.0=18.0 gui
HAEMOGLOBIN,aldl,
Haemoglobin %,11.4-16.4,gm/dL
Haemoglobin (Hb),13.0-18.0,g/dL
Haemoglobin (Hb),13.5-18,gm/dL
"HAEMOGLOBIN, ",13-17,g/dL
"Haemoglobin 14, .2gmidl",13-17,gm/dl
Haemoglobin(Colorimetric method),11.5-15,g/dl
Haemoglobin(Colorimetric method),13-18,g/dl
HAEMOGLOBIN(Hb),11.5-17,gm/dl
HAEMOGLOBIN-HB,12.000-15.000,gm%
HAEMOGLOBIN-HB,13.000-17.000,gm%
Haemoglobin>43.2,13.5-18,%
HAEMOGLOCBIN,13-17,g/dL
HAEMOGLORBIN (Hb),11.5-17.0,gm/dl
Haemogram,,
HAEMOLOBIN,13.0-17.0,g/dl
HAIMOGLOBIN,12-15,g/dL
HB,13.5-17,GM/DL
HB,13.5-17,% / GM/DL
Hb (Haemoglobin),,mg/dL
Hb (Haemoglobin),13-17,gm/dl
Hb (Haemoglobin),,gm/dl
Hb (Haemoglobin),13-18,gm/dl
Hb (Haemoglobin),;,gm/dl
Hb (Haemoglobin),11-15,gm/dl
Hb (Haemoglobin),13-17;,gm/dl
Hb (Haemoglobin),13-17,mg/dL
Hb (Haernoglobin),,gm/dl
HB%,13.5-17,GM/DL
HB%,13.5-17,mg/dL
HB%,12.5-17,GM/DL
HB%:,13.5-17,GM/DL
Hb(Haemoglobin),13-18,gm/dl
Hb(Haemoglobin),13-17,gm/dl
HbA1C,,%
HbA1C,For diagnosis of Diabetes Mellitus 4.0-6.09%: Normal;,%
HbA1c,For diagnosis of Diabetes Mellitus ;,%
HbA1C,4.0-6.0 : Normal;,%
HbA1c,For Diagnosis Diabetec Mellius,%
HbA1c (IFCC),29-42,mmol/mol
HbA1C Glycated Haemoglobin,,%
HbA1C Glycosylated Haemoglobin,,%
"HBA1C, GLYCATED HEMOGLOBIN, WHOL BLOOD-EDTA",,%
"HBA1C, GLYCATED HEMOGLOBIN, WHOLE",,%
"HBA1C, GLYCATED HEMOGLOBIN, WHOLE BLOOD-EDTA",,%
"HBA1C, GLYCATED HEMOGLOBIN, WHOLE BLOOD -EDTA",HPLC,%
"HBA1C, GLYCATED HEMOGLOBIN, WHOLE BLOOD -EDTA",,%
"HBA1C, GLYCATED HEMOGLOBIN, WHOLE BLOOD EDTA",,%
"HBA1C, GLYCATED HEMOGLOBIN, WHOLE BLOOD-EDTA",HPLC,%
HBAIc,,%
HBS Ag,,
HbsAg,,
HCT,35.0 /55.0,%
HCT,35.0 / 55.0,%
HCT,0.370-0.470,
HCT,35.0/55.0,%
HCT,50,%
HDI. Cholesterol,More than 35,mg/dL
HDI. Cholesterol (direct),More than 35,mg/dL
HDL,40-60,mg/dL
HDL,30-70,mg/dL
HDL,30-50,mg/dL
HDL,Low risk* : >60 ;,mg/dL
HDL,35-85,mg/dL
HDL,0-40 - Low;,mg/dL
HDL,,mg/dL
HDL Cholesteroi,Low Risk : >60.0;,mg/dL
HDL Cholesterol,> 35.0,mg/dL
HDL Cholesterol,>35.0,mg/dL
HDL Cholesterol,30.00-65.00,mg/dL
HDL CHOLESTEROL,>40,mg/dL
HDL CHOLESTEROL,40-60,mg/dL
HDL Cholesterol,30.00-65.00;,mg/dL
HDL Cholesterol,Major risk factor for heart;,mg/dL
HDL CHOLESTEROL,35-55,mg/dL
HDL Cholesterol,Male :35-80 ;,mg%
HDL Cholesterol,High Risk: 0-35 ;,mg/dL
HDL CHOLESTEROL,0-40,mg/dL
HDL CHOLESTEROL,30-65,mg/dL
HDL Cholesterol,Low Risk >50;,mg/dL
HDL CHOLESTEROL,0-40 Low;,mg/dL
HDL Cholesterol,30-70,mg/dL
HDL Cholesterol,30..00-65.00,mg/dL
HDL Cholesterol,Low: 0-40;,mg/dL
HDL Cholesterol,Low Risk : > 60.0;,mg/dL
HDL Cholesterol,Low Risk : >60.0;,mg/dL
HDL Cholesterol,Major risk factor for heart disease: 0-40;,mg/dL
HDL Cholesterol,30.0-65.00,mg/dL
HDL Cholesterol,Low Risk :>60.0;,mg/dL
HDL Cholesterol,Low Risk : > 60.0 ;,mg/dL
HDL CHOLESTEROL,> 40,mg/dL
HDL Cholesterol,me/dl Male 30-55,mg/dL
HDL Cholesterol,30-70,me/dl
HDL Cholesterol,30-55,mg/dL Male mg/dL
HDL CHOLESTEROL,More than 35,mg/dL
HDL Cholesterol,32-55,mgs/dl
HDL CHOLESTEROL,30-60,mg/dL
HDL Cholesterol,30-70,mep/dl
HDL CHOLESTEROL,CHE/CHO/POD,mg/dL>40
HDL Cholesterol,Risk>60.0,mg/dL Low
HDL Cholesterol,Low Risk 60.0,mg dL
HDL Cholesterol ( direct ),More than 35,mg/dL
HDL Cholesterol (direct),More than 35,mg/dL
HDL CHOLESTEROL (DIRECT),Low: 0-40;,mg/dL
HDL CHOLESTEROL (DIRECT),Low: 0-40 ;,mg/dL
"HDL CHOLESTEROL, SERUM",40-60,mg/dL
HDL Cholesterol - Direct,"Male - more than 40, Female - more than 55.",mg/dL
HDL Cholesterol - Direct,"Male - More than 40,Female - More than 55.",mg/dL
HDL Cholesterol - Direct,Male - More than 40;,mg/dL
HDL Cholesterol - Direct,"Male - More than 40,Female - More than 55",mg/dL
HDL Cholesterol - Direct,"Male - More than 40,Female - More;",mg/dL
HDL CHOLESTEROL 42mg,60,to mg/dL
HDL Cholesterol(Direct),More than 35,mg/dL
"HDL CHOLESTEROL, ",>40,mg/dL
"HDL CHOLESTEROL, serum",>40,mg/dL
"HDL CHOLESTEROL, Serum",Desirable: >60 ;,
"HDL CHOLESTEROL, Serum",Desirable: >60;,
"HDL CHOLESTEROL, Serum",Desirable: >60 ;,mg/dL
"HDL CHOLESTEROL, Serum",Desirable :>60 ;,mg/dL
"HDL CHOLESTEROL, serun",>40,mg/dL
HDL Cholestrol,35-55,mg/dL
HDL Cholestrol,,mg/dL
HDL CHOLESTROL ee,40-60,mg/dL
HDL High Density Lipids Cholesterol,,
HDL Triglycerides,low,Very
"HDL, CHOLESTEROL",35-55,mg/dL
HDL-Cholesterol -serum,35-79,mg/dL
HDL-Cholesterol- serum,35-79,mg/dL
HDL-Cholesterol- serunr,35-79,mg/dL
HDL. Cholesterol,30.00-65.00,mg/dL
HDL/LDL,,
HDL/LDL Cholesterol Ratio,,
Heart Rate,,
Heart Sound,,
HEART SOUNDS,,
HEIGHT IN METERS,,mts
HEIGHT IN METERS,,mtc
HEIGHT IN METERS,mts,
